,MEMBER,PARTY,PVI,2016 D%,2016 R%,CLINTON %,TRUMP %
Indiana-04,OPEN (Rokita),R,R+17,30.50%,64.60%,30.00%,63.90%
Indiana-05,Susan Brooks,R,R+9,34.30%,61.50%,40.90%,52.60%
Indiana-06,OPEN (Messer),R,R+18,26.70%,69.10%,27.30%,67.50%
Indiana-07,Andre Carson,D,D+11,60.00%,35.70%,58.20%,35.70%
Indiana-08,Larry Bucshon,R,R+15,31.70%,63.70%,30.80%,64.40%
Indiana-09,Trey Hollingsworth,R,R+13,40.50%,54.10%,34.00%,60.80%
Iowa-01,Rod Blum,R,D+1,46.10%,53.70%,44.60%,48.10%
Iowa-02,Dave Loebsack,D,D+1,53.70%,46.20%,44.40%,48.50%
Iowa-03,David Young ,R,R+1,39.70%,53.40%,44.50%,48.00%
Iowa-04,Steve King,R,R+11,38.60%,61.20%,33.20%,60.30%
Kansas-01,Roger Marshall,R,R+24,0.00%,65.90%,24.20%,69.00%
Kansas-02,(Open) Jenkins,R,R+10,32.60%,60.90%,37.30%,55.60%
Kansas-03,Kevin Yoder,R,R+4,40.60%,51.30%,46.90%,45.70%
Kansas-04,Ron Estes,R,R+15,29.60%,60.70%,32.80%,59.80%
Kentucky-01,James Comer,R,R+23,27.30%,72.60%,23.90%,72.40%
Kentucky-02,Brett Guthrie,R,R+19,0.00%,100.00%,27.60%,67.50%
Kentucky-03,John Yarmuth,D,D+6,63.50%,36.50%,54.90%,39.90%
Kentucky-04,Thomas Massie,R,R+18,28.70%,71.30%,29.20%,65.10%
Kentucky-05,Hal Rogers,R,R+31,0.00%,100.00%,17.50%,79.60%
Kentucky-06,Andy Barr,R,R+9,38.90%,61.10%,39.40%,54.70%
Louisiana-01,Steve Scalise,R,R+24,19.50%,74.60%,26.80%,69.00%
Louisiana-02,Cedric Richmond,D,D+25,100.00%,0.00%,75.10%,22.40%
Louisiana-03,Clay Higgins,R,R+20,17.50%,80.70%,29.20%,67.30%
Louisiana-04,Mike Johnson,R,R+13,28.20%,69.80%,36.60%,60.60%
Louisiana-05,Ralph Abraham,R,R+15,0.00%,100.00%,34.10%,63.50%
Louisiana-06,Garret Graves,R,R+19,23.90%,72.80%,31.30%,65.30%
Maine-01,Chellie Pingree,D,D+8,58.00%,41.90%,54.00%,39.20%
Maine-02,Bruce Poliquin,R,R+2,45.20%,54.80%,41.00%,51.30%
Maryland-01,Andy Harris,R,R+14,28.60%,67.00%,34.90%,60.00%
Maryland-02,Dutch Ruppersberger,D,D+11,62.10%,33.10%,58.10%,37.20%
Maryland-03,John Sarbanes,D,D+13,63.20%,33.90%,62.80%,31.90%
Maryland-04,Anthony Brown,D,D+28,74.10%,21.40%,76.80%,19.70%
Maryland-05,Steny Hoyer,D,D+16,67.40%,29.40%,64.90%,31.10%
Maryland-06,OPEN (Delaney),D,D+6,56.00%,40.10%,55.20%,39.80%
Maryland-07,Elijah Cummings,D,D+26,74.90%,21.80%,74.00%,21.50%
Maryland-08,Jamie Raskin,D,D+14,60.60%,34.20%,64.20%,30.90%
Massachusetts-01,Richard Neal,D,D+12,73.30%,0.00%,56.30%,36.00%
Massachusetts-02,Jim McGovern,D,D+9,98.20%,0.00%,55.30%,36.20%
Massachusetts-03,OPEN (Tsongas),D,D+9,68.70%,31.20%,57.30%,34.80%
Massachusetts-04,Joe Kennedy,D,D+9,70.10%,29.80%,58.10%,34.40%
Massachusetts-05,Katherine Clark,D,D+18,98.60%,0.00%,68.20%,25.30%
Massachusetts-06,Seth Moulton,D,D+6,98.40%,0.00%,55.10%,37.60%
Massachusetts-07,Mike Capuano,D,D+34,98.60%,0.00%,83.00%,11.80%
Massachusetts-08,Stephen Lynch,D,D+10,72.40%,27.50%,59.50%,33.80%
Massachusetts-09,Bill Keating,D,D+4,55.70%,33.60%,51.70%,41.20%
Michigan-01,Jack Bergman,R,R+9,40.10%,54.90%,36.50%,57.80%
Michigan-02,Bill Huizenga,R,R+9,32.50%,62.60%,37.80%,55.10%
Michigan-03,Justin Amash,R,R+6,37.50%,59.50%,42.10%,51.60%
Michigan-04,John Moolenaar,R,R+10,32.10%,61.60%,34.60%,59.40%
Michigan-05,Daniel Kildee,D,D+5,61.20%,35.10%,49.70%,45.40%
Michigan-06,Fred Upton,R,R+4,36.40%,58.60%,42.80%,51.20%
Michigan-07,Tim Walberg,R,R+7,40.00%,55.10%,38.60%,55.60%
Michigan-08,Mike Bishop,R,R+4,39.20%,56.00%,43.80%,50.50%
Michigan-09,Sander Levin,D,D+4,57.90%,37.40%,51.40%,43.70%
Michigan-10,Paul Mitchell,R,R+13,32.30%,63.10%,31.60%,63.80%
Michigan-11,OPEN (Trott),R,R+4,40.20%,52.90%,45.00%,49.40%
Michigan-12,Debbie Dingell,D,D+14,64.30%,29.30%,60.60%,34.30%
Michigan-13,John Conyers,D,D+32,77.10%,15.70%,78.80%,18.10%
Michigan-14,Brenda Lawrence,D,D+30,78.50%,18.70%,79.10%,18.20%
Minnesota-01,Open (Waltz),D,R+5,50.30%,49.60%,38.10%,52.80%
Minnesota-02,Jason Lewis,R,R+2,45.20%,47.00%,44.90%,46.10%
Minnesota-03,Erik Paulsen,R,D+1,43.00%,56.70%,50.20%,40.90%
Minnesota-04,Betty McCollum,D,D+14,57.80%,34.40%,60.90%,30.20%
Minnesota-05,Keith Ellison,D,D+26,69.10%,22.30%,73.00%,18.30%
Minnesota-06,Tom Emmer,R,R+12,34.30%,65.60%,33.00%,58.40%
Minnesota-07,Collin Peterson,D,R+12,52.50%,47.40%,30.80%,61.40%
